player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Kessler Edwards,edwarke02,2023,RS,SAC,538,253,.3738278758128338,-.7423648754206703,-.3685369996078365,4.951981269882324,-2.117404730988938,2.834576538893386,1.333110123552929,-1.039764351763396,.2933457717895329,.3926287096420145,.3926287096420145,0,.4531189293913521,-1.377010429468997,-.9238915000776452,-.0534542094467637
Keon Ellis,elliske01,2023,RS,SAC,105,50,6.12546884126947,-3.035627622466771,3.089841218802699,-2.973461726641891,-5.637510126326714,-8.610971852968605,4.623795758206031,-3.708064600260594,.9157311579454364,.093568156852651,.093568156852651,0,5.389308187312509,-3.906611120090143,1.482697067222366,.0597067120099062
Joel Embiid,embiijo01,2023,RS,PHI,4499,2215,4.435233177169144,3.563301978196549,7.998535155365692,2.276543453018677,4.082818794637618,6.359362247656295,4.172938978802066,3.838810509315143,8.011749488117209,12.22104280683905,12.22104280683905,0,4.348718839486984,3.340759576669355,7.689478416156339,.4915172927955909
Drew Eubanks,eubandr01,2023,RS,POR,3184,1525,-2.235227838087026,.281116526418561,-1.954111311668465,.4482153736166055,-1.755707360134188,-1.307491986517582,-1.828673866703152,-.0708765378276667,-1.899550404530818,.6579524567804826,.6579524567804826,0,-2.159606273615476,.4004139214156071,-1.759192352199869,-.570724085746236
Bruno Fernando,fernabr01,2023,RS,ATL,33,15,-3.223247790397117,-15.82636581101552,-19.04961360141264,-7.463663501619798,-1.059033939253422,-8.52269744087322,-4.313059941799981,-13.68236582348973,-17.99542576528972,-.1173167382223584,-.1173167382223584,0,-5.769141714931489,-11.69148068631537,-17.46062240124686,.5563025654686249
Bruno Fernando,fernabr01,2023,RS,HOU,756,364,-2.040305243227518,2.068618497938582,.0283132547110641,-2.10592634252802,1.27316420440959,-.83276213811843,-2.152745281788113,2.117655472964104,-.0350898088240092,.5026599660891237,.5026599660891237,0,-2.363809702272671,.3624179677105988,-2.001391734562072,-.3067991240957922
Dorian Finney-Smith,finnedo01,2023,RS,DAL,2567,1288,-1.643059396507866,1.269401757802414,-.3736576387054513,1.209266376550005,.3930019811700984,1.602268357720103,-1.173685986635299,1.186740031717275,.0130540450819763,1.802156354384588,1.802156354384588,0,-1.025504982103947,1.27851845320535,.2530134711014029,-.7527349194927341
Dorian Finney-Smith,finnedo01,2023,RS,BRK,1373,665,-4.199738589295203,1.151249210191699,-3.048489379103504,-1.382263240845105,-1.18279691836304,-2.565060159208145,-3.870962114592013,.735034418918459,-3.135927695673554,-.131179171564786,-.131179171564786,0,-3.087186102170574,1.16512997406195,-1.922056128108625,.1852343140183772
Malachi Flynn,flynnma01,2023,RS,TOR,1328,645,-1.492436196278413,-3.079609675849792,-4.572045872128204,-3.014383394826465,-2.827837748287095,-5.84222114311356,-1.916720804204291,-3.224112810098426,-5.140833614302718,-.7796211599011398,-.7796211599011398,0,-1.618428733186746,-2.560707658667112,-4.179136391853858,-.9168826055899105
Simone Fontecchio,fontesi01,2023,RS,UTA,1455,665,-2.700581809923305,-5.270239755155252,-7.970821565078557,-5.939496133838193,-4.776231422827711,-10.7157275566659,-3.554508782824023,-5.470529348856471,-9.025038131680493,-2.141635457563372,-2.141635457563372,0,-2.959294386318047,-5.88129180936831,-8.840586195686356,.5979659870948932
Bryn Forbes,forbebr01,2023,RS,MIN,580,268,-3.73539230275932,-4.536764788970597,-8.272157091729916,-3.369973274768506,-3.519795441285288,-6.889768716053794,-3.854095805936092,-4.594640628077836,-8.448736434013927,-.7805304200616677,-.7805304200616677,0,-4.106779345683526,-4.915659228689739,-9.022438574373265,.1710831075870138
Trent Forrest,forretr01,2023,RS,ATL,516,246,-2.398403981165526,-.9967898958189667,-3.395193876984493,-3.892583033400254,-3.120108263154014,-7.012691296554268,-2.860543569889811,-1.479725313533702,-4.340268883423514,-.1975960854020004,-.1975960854020004,0,-2.726434611905474,-2.387638703555923,-5.114073315461397,-1.009327849960751
Michael Foster Jr.,fostemi02,2023,RS,PHI,2,1,-2.427187801697023,6.74594857123646,4.318760769539438,-67.22590785805927,5.035184707167588,-62.19072315089169,-16.13458010069166,6.843941207276444,-9.29063889341522,-.0032473465830148,-.0032473465830148,0,-13.91779049514369,.257927933871882,-13.65986256127181,-2.710865540370372
