GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,OREB_home,OREB_away,spread,PTS_total,OREB_total
2023-03-27,22201124,Final,1610612752,1610612745,2022,1610612752,137.0,0.581,0.714,0.436,35.0,39.0,1610612745,115.0,0.483,0.828,0.269,24.0,40.0,1,7.0,13.0,22.0,252.0,20.0
2023-03-27,22201125,Final,1610612762,1610612756,2022,1610612762,103.0,0.442,0.667,0.25,25.0,47.0,1610612756,117.0,0.426,0.909,0.306,31.0,49.0,0,10.0,18.0,-14.0,220.0,28.0
2023-03-27,22201126,Final,1610612743,1610612755,2022,1610612743,116.0,0.506,0.864,0.344,34.0,42.0,1610612755,111.0,0.483,0.773,0.267,18.0,40.0,1,10.0,11.0,5.0,227.0,21.0
2023-03-27,22201127,Final,1610612757,1610612740,2022,1610612757,90.0,0.389,0.867,0.212,15.0,29.0,1610612740,124.0,0.57,0.824,0.429,31.0,53.0,0,6.0,8.0,-34.0,214.0,14.0
2023-03-27,22201128,Final,1610612758,1610612750,2022,1610612758,115.0,0.464,0.8,0.185,16.0,42.0,1610612750,119.0,0.512,0.647,0.375,33.0,40.0,0,12.0,11.0,-4.0,234.0,23.0
2023-03-27,22201129,Final,1610612746,1610612741,2022,1610612746,124.0,0.593,0.5,0.5,41.0,37.0,1610612741,112.0,0.537,0.714,0.391,26.0,34.0,1,6.0,8.0,12.0,236.0,14.0
2023-03-26,22201113,Final,1610612766,1610612742,2022,1610612766,110.0,0.443,0.833,0.414,27.0,58.0,1610612742,104.0,0.381,0.955,0.388,18.0,37.0,1,14.0,3.0,6.0,214.0,17.0
2023-03-26,22201114,Final,1610612747,1610612741,2022,1610612747,108.0,0.507,0.679,0.361,24.0,38.0,1610612741,118.0,0.54,0.769,0.452,32.0,42.0,0,8.0,8.0,-10.0,226.0,16.0
2023-03-26,22201115,Final,1610612737,1610612763,2022,1610612737,119.0,0.459,0.846,0.226,27.0,48.0,1610612763,123.0,0.539,0.737,0.394,28.0,39.0,0,14.0,6.0,-4.0,242.0,20.0
2023-03-26,22201116,Final,1610612738,1610612759,2022,1610612738,137.0,0.571,0.714,0.409,29.0,61.0,1610612759,93.0,0.371,0.722,0.222,22.0,38.0,1,9.0,3.0,44.0,230.0,12.0
2023-03-26,22201117,Final,1610612739,1610612745,2022,1610612739,108.0,0.47,0.875,0.3,20.0,41.0,1610612745,91.0,0.438,0.833,0.24,20.0,36.0,1,13.0,12.0,17.0,199.0,25.0
2023-03-26,22201118,Final,1610612753,1610612751,2022,1610612753,119.0,0.529,0.786,0.318,30.0,47.0,1610612751,106.0,0.407,0.857,0.229,17.0,44.0,1,9.0,15.0,13.0,225.0,24.0
2023-03-26,22201119,Final,1610612761,1610612764,2022,1610612761,114.0,0.459,0.813,0.355,22.0,53.0,1610612764,104.0,0.442,0.6,0.444,25.0,45.0,1,18.0,12.0,10.0,218.0,30.0
2023-03-26,22201120,Final,1610612757,1610612760,2022,1610612757,112.0,0.476,0.741,0.438,18.0,37.0,1610612760,118.0,0.436,0.857,0.343,23.0,42.0,0,8.0,13.0,-6.0,230.0,21.0
2023-03-26,22201121,Final,1610612744,1610612750,2022,1610612744,96.0,0.415,0.765,0.375,25.0,37.0,1610612750,99.0,0.425,0.56,0.425,25.0,49.0,0,6.0,9.0,-3.0,195.0,15.0
2023-03-25,22201107,Final,1610612737,1610612754,2022,1610612737,143.0,0.552,0.88,0.5,33.0,42.0,1610612754,130.0,0.542,1.0,0.378,33.0,32.0,1,15.0,10.0,13.0,273.0,25.0
2023-03-25,22201108,Final,1610612748,1610612751,2022,1610612748,100.0,0.475,0.857,0.4,22.0,32.0,1610612751,129.0,0.494,0.92,0.45,30.0,45.0,0,8.0,17.0,-29.0,229.0,25.0
2023-03-25,22201109,Final,1610612743,1610612749,2022,1610612743,129.0,0.528,0.714,0.417,28.0,48.0,1610612749,106.0,0.443,0.905,0.25,26.0,40.0,1,7.0,4.0,23.0,235.0,11.0
2023-03-25,22201110,Final,1610612756,1610612755,2022,1610612756,125.0,0.505,0.842,0.469,35.0,45.0,1610612755,105.0,0.436,0.889,0.419,21.0,36.0,1,13.0,8.0,20.0,230.0,21.0
2023-03-25,22201111,Final,1610612758,1610612762,2022,1610612758,121.0,0.463,0.81,0.372,30.0,42.0,1610612762,113.0,0.516,0.625,0.321,30.0,45.0,1,14.0,11.0,8.0,234.0,25.0
